Block_code,#Businesses with liquor licenses,#Crimes,#Arrests
281900_1001,5,5,
281900_1002,2,2,
281900_1005,3,4,
281900_1023,3,6,
283100_1000,13,7,
283100_1001,2,2,
283100_2006,6,5,
283200_1006,4,2,
283200_1007,6,5,
320100_1010,2,8,
320100_1012,1,9,
320100_1015,1,4,
320100_1016,8,200,
320100_1017,1,16,
320100_1018,4,4,
320100_1020,4,36,
320100_2005,22,23,
320100_2010,1,4,
320100_2012,5,9,
320100_2013,13,35,
320100_2014,9,12,
320100_2015,3,3,
320100_2016,3,3,
320100_2021,6,21,
320100_2022,15,49,
320100_2023,9,72,
320100_2024,10,70,
320100_2025,1,5,
320100_2027,3,7,
320100_2028,1,3,
320100_2029,6,15,
320100_2030,4,4,
320100_2032,20,92,
320100_2034,8,10,
320100_3008,20,40,
320100_3010,12,10,
320400_1005,4,16,
320400_1008,17,8,
320400_1009,4,2,
320400_1010,17,8,
320400_1011,14,54,
320400_1013,5,12,
320400_1014,7,26,
320400_1020,8,13,
320400_1025,2,2,
320400_1033,1,3,
320400_1034,2,4,
320400_1035,3,9,
320400_1036,1,5,
320400_1040,6,6,
320400_1043,4,4,
320600_1008,3,3,
320600_1010,5,10,
320600_2001,10,7,
320600_2003,7,2,
320600_2007,18,2,
320600_2010,5,4,
320600_2013,7,43,
320600_2014,3,2,
330100_1001,6,12,
330100_1003,1,8,
330100_1004,1,8,
330100_1007,5,6,
330100_1008,7,7,
330100_1009,1,1,
330100_3009,6,4,
330100_4011,3,1,
330100_4012,5,6,
832900_1009,12,2,
833000_1018,6,4,
833000_1021,3,2,
833000_1023,2,2,
833000_1026,4,6,
833000_1029,11,2,
833000_1030,8,4,
833000_1031,1,1,
833000_1033,2,1,
833000_1034,2,2,
833000_1038,5,2,
833000_1047,2,1,
833000_1048,8,11,
833000_1053,5,6,
833000_1056,3,2,
833000_1059,6,24,
833000_1060,8,32,
833000_1061,2,2,
833000_1063,4,1,
833000_2030,4,18,
833000_2035,3,2,
833000_2038,11,2,
833000_2056,3,2,
833000_2059,3,2,
833100_1007,5,7,
833100_1012,5,2,
833100_2015,6,6,
833300_1024,2,2,
833300_1029,3,2,
833300_1035,2,2,
838100_1007,1,2,
839000_1000,4,2,
839000_1001,4,6,
839000_2000,3,2,
839000_2004,1,2,
839000_3002,6,7,
839000_4001,3,2,
839000_4002,5,5,
839000_4003,1,1,
839100_1012,3,3,
839100_1016,2,8,
839100_1017,4,8,
839100_1020,11,2,
839100_1024,1,4,
839100_1025,4,10,
839100_1033,7,8,
839100_1034,2,2,
839100_1035,2,6,
839100_1036,5,2,
839100_1038,8,16,
839100_1042,14,10,
839100_1043,3,1,
839100_1048,1,1,
839100_1049,1,1,
839100_1050,5,8,
839100_1054,5,1,
839100_1055,5,3,
839100_1056,4,8,
839100_1057,3,5,
839100_1061,2,2,
839100_1066,7,152,
839100_1067,5,6,
839100_1068,8,4,
839100_1071,3,5,
839100_1074,4,4,
839100_1075,2,27,
839100_1076,4,10,
839100_1077,4,3,
839100_1081,2,4,
839100_1085,1,2,
839100_1087,1,1,
839100_1088,4,8,
839100_1091,7,13,
839100_1093,9,6,
839100_1095,9,18,
839100_1096,9,16,
839100_1099,1,1,
839100_1102,5,20,
839100_1104,5,6,
839100_1106,2,6,
839100_1107,3,2,
839100_2001,6,6,
839100_2003,4,2,
839100_2004,6,2,
839100_2006,10,20,
839100_2008,3,12,
839100_2012,7,26,
839100_2013,4,7,
839100_2014,2,2,
839100_2016,11,2,
839100_2021,6,14,
839100_2024,5,2,
839100_2028,5,30,
839100_2045,1,1,
839100_2046,2,12,
839100_2048,1,1,
841900_1054,3,1,
841900_2019,2,2,
841900_2024,2,9,
841900_2027,4,2,
841900_2040,7,3,
841900_2041,9,5,
841900_2045,3,3,
841900_2074,3,21,
841900_2092,2,4,
