Restaurant Name,Address,Failed inspection on,Alive for x years
1104 WABASH,1104 S WABASH AVE ,09/03/2010,1
1154 FULTON MARKET,1154 W FULTON MARKET ,05/15/2012,2
1ST & FRESH CATERING,205 W Randolph ST ,02/19/2016,1
3RD FLOOR - BANQUET/MEETING ROOMS(LL KITCHEN),203 N WABASH AVE ,07/25/2016,1
6 FIVE CHINESE RESTAURANT,201 W MADISON ST ,06/29/2017,1
65 ASIAN KITCHKEN,111 W JACKSON BLVD ,09/10/2010,4
7 - ELEVEN,343 S DEARBORN ST ,08/22/2017,1
7-ELEVEN,48 N WELLS ST ,06/22/2017,1
7-ELEVEN # 33731,954 W MONROE ST ,03/19/2015,3
7-ELEVEN #33705B,216 W JACKSON BLVD ,05/27/2015,2
@ AT THE CAF,525 S STATE ST ,01/16/2015,3
ACANTO,18 S MICHIGAN AVE ,07/13/2015,1
ADMUS,10-16 S WABASH AVE ,04/02/2015,2
AFC SUSHI,151 N STATE ST ,12/29/2011,6
AFC SUSHI @ UNIVERSITY CENTER,525 S STATE ST ,10/21/2014,3
AFC SUSHI @JEWEL-OSCO #3345,1224 S WABASH AVE ,09/15/2010,7
ALCOCKS,411 S WELLS ST ,04/19/2011,6
ALL STARS ON WELLS,205 W WACKER DR ,02/23/2010,2
AMARIT RESTAURANT,600 S DEARBORN ST ,10/27/2016,1
AMERICA'S DOG,22 E RANDOLPH ST ,10/12/2017,1
"ANGEL'S RESTAURANT, INC.",230 S ASHLAND AVE ,11/03/2016,1
ANNA'S ASIAN BISTRO,813 W LAKE ,10/25/2011,2
ARA ON,190 S LA SALLE ST ,02/03/2015,1
ARAMARK @ AMERITECH,225 W RANDOLPH ST ,05/07/2010,3
ARAMARK AT BOEING,100 N RIVERSIDE PLZ ,11/04/2014,2
ARAMARK NUVEEN INVESTMENTS CAFE,333 W WACKER DR ,05/02/2014,3
ARGO TEA,1 S FRANKLIN ST ,10/29/2015,1
ARTISTS CAFE,1150 S WABASH AVE ,09/04/2012,2
ASADA,180 N WELLS ST ,12/12/2014,3
AU CHEVAL,800 W RANDOLPH ST ,06/23/2016,2
AUBON PAIN,2 N RIVERSIDE PLZ ,06/11/2014,2
Acappella Bistro,1301 S Michigan AVE ,02/19/2010,2
Au Bon Pain,181 W Madison ST BLDG ,03/05/2013,3
B Patel Inc,800 S WELLS ST ,11/13/2017,1
BABA'S VILLAGE,310 S CANAL ST ,05/27/2011,5
BACCI,162 N FRANKLIN ST ,12/28/2016,1
BANQUET & MEETING RMS,200 N COLUMBUS DR ,03/17/2015,1
BEEF AND BRANDY RESTAURANT,127 S STATE ST ,09/07/2017,1
BELDEN'S 3RD FLOOR DELI,5 S WABASH AVE ,12/29/2011,1
BELLY Q/URBAN BELLY II,1400 W RANDOLPH ST ,03/22/2016,2
BINITA'S,332 S MICHIGAN AVE ,11/02/2010,2
BINNY'S,1132 S JEFFERSON ST ,11/03/2015,2
BISTRO 151,151 E WACKER DR ,07/18/2011,5
BLACKIE'S,755 S CLARK ST ,05/07/2013,3
BLOCKS INFANT TODDLER CHILDCARE CENTER,657 S WELLS ST ,04/23/2014,4
BOMBAY WRAPS,122 N WELLS ST ,05/17/2010,6
BOMBON -N- CATERING,138 S ASHLAND AVE ,06/03/2015,2
BOMBON CAFE,36 S ASHLAND ,07/02/2014,3
BOSTON BLACKIES,120 S RIVERSIDE PLZ ,10/27/2015,2
BRASSERIE BY LM,800 S MICHIGAN AVE ,12/03/2014,1
BRIDGEPORT COFEE,1021 S DELANO WEST CT ,10/15/2013,2
BRIGHT HORIZONS,40 N DEARBORN ,09/15/2015,1
BROKEN ENGLISH TACO PUB,75 E LAKE ST ,08/29/2017,1
BUCK'S FOUR STAR GRILL,301 S COLUMBUS DR ,05/27/2014,2
BUDDY GUY'S LEGENDS,700 S WABASH AVE ,04/06/2010,6
BURNHAM PARK YACHT CLUB,1500 S LYNN WHITE DR ,06/27/2014,2
BURRITO BUGGY,206 W VAN BUREN ST ,08/06/2010,4
BUTTERFLY SUSHI BAR,1131 W MADISON ST ,02/03/2016,1
Burnham Plaza Mart,828 S Wabash AVE ,06/22/2010,6
CAFE 300,300 E RANDOLPH ST ,06/02/2017,1
CAFE 333.,333 W WACKER DR ,08/24/2010,3
CAFE 41,300 E RANDOLPH ST ,06/02/2017,1
CAFFE BACI INC.,20 N MICHIGAN AVE ,09/06/2013,1
CAMPUS CENTER CAFE,37 S WABASH AVE FL ,05/11/2012,4
CARDOZO'S PUB,170 W WASHINGTON ST ,11/13/2017,1
CARIBOU COFFE CO. INC.,20 N MICHIGAN AVE ,08/02/2013,1
CARIBOU COFFEE CO. INC.,800 S WABASH AVE ,10/06/2011,3
CARIBOU COFFEE COMPANY,55 W MONROE ST ,04/09/2013,1
CARIBOU COFFEE COMPANY INC.,1328 S HALSTED ST ,12/04/2013,1
CARMICHAEL'S CHICAGO STEAK HSE,1052 W MONROE ST ,10/23/2013,1
CELLARS MARKET,141 W JACKSON BLVD ,07/18/2016,2
CERISE,203 N WABASH AVE ,07/25/2016,1
CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE ,05/05/2015,2
"CHICAGO BEEF, BURGER & DOGS",17 S WABASH AVE ,08/23/2010,2
CHICAGO BUSY BURGER,1120 W TAYLOR ST ,02/16/2017,1
CHICAGO CURRY HOUSE,899 S PLYMOUTH CT ,07/16/2014,2
CHICAGO DESIGN MUSEUM,108 N STATE ST FL ,03/17/2016,2
CHICAGO KITCHEN,63 E HARRISON ST ,05/17/2011,5
CHICAGO YACHT CLUB,400 E MONROE DR ,09/05/2014,2
CHIPOTLE,1132 S CLINTON ST ,01/07/2016,1
CHIPOTLE MEXICAN GRILL,8 E MADISON ST ,07/23/2015,2
CINDY'S,12 S MICHIGAN AVE ,05/05/2015,2
COBRA LOUNGE,235 N ASHLAND AVE ,10/29/2014,2
COCHAN VOLANT,100 W MONROE ST ,04/08/2015,2
COCO'S FAMOUS FRIED LOBSTER,426 S CLARK ST ,09/12/2011,5
COMFORT SUITES,320 N MICHIGAN AVE ,09/12/2014,2
COOGAN'S RIVERSIDE SALOON,180 N WACKER DR ,09/22/2010,7
CORDI - MARIAN CENTER,1100 S MAY ST ,12/22/2014,3
COUNTY BARBEQUE,1352 W TAYLOR ST ,02/09/2016,1
CROSSTOWN FITNESS,1031 W MADISON ST ,10/09/2015,2
CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE ,08/18/2010,1
CRUZ BLANCA AND LENA BRAVA,900-906 W RANDOLPH ST ,08/03/2016,2
CVS/PHARMACY #2934,208 W WASHINGTON ST ,12/02/2010,8
CVS/PHARMACY #3674,105 S WABASH AVE ,12/04/2014,4
CVS/PHARMACY #4061,520 S STATE ST ,05/22/2015,3
CVS/Pharmacy #5768,130 S CANAL ST ,12/09/2010,4
Chartwells @ DePaul University,1 E JACKSON BLVD ,04/05/2017,1
"Chicago Concessions Palace, Inc.",151 W RANDOLPH ST ,02/17/2011,5
DAVIDsTEA,151 N MICHIGAN AVE ,08/29/2014,2
DELMONICO,111 W WASHINGTON ST ,08/21/2017,1
DEPAUL UNIVERSITY LOOP CAMPUS BOOKSTORE #085,1 E JACKSON BLVD ,10/25/2013,4
DEPT OF REHABILITATION SVC/VFP (KAVA CAFE),77 W JACKSON BLVD ,01/08/2015,1
DOLLOP COFFEE CO at the Fisher Building,343 S DEARBORN ST ,04/11/2014,2
DOUGHNUT VAULT,111 N CANAL ST ,10/17/2014,2
DQ LUXURY REFLEXOLOGY MASSAGE,910 S MICHIGAN AVE ,03/29/2012,2
DRAGONFLY MANDARIN,832 W RANDOLPH ST ,06/14/2011,1
DUNKIN  DONUTS / BASKIN ROBBINS,1231 S WABASH AVE ,08/02/2013,3
DUNKIN DONUTS / BASKIN ROBBINS,233 N MICHIGAN AVE ,01/23/2015,1
DUNKIN DONUTS / BASKIN ROBINS,75 E WASHINGTON ST ,08/11/2017,1
DUNKIN DONUTS BASKIN ROBBINS,500 W ROOSEVELT RD ,10/08/2015,3
DUNKINDONUTS,203 N LA SALLE ST ,08/02/2010,4
Dunkin Donuts,22 E ROOSEVELT RD ,07/02/2015,2
EAST COAST PANTRY CHICAGO,611 S WELLS ST ,06/08/2015,2
EINSTEIN BROS. BAGELS,75 E LAKE ST ,12/03/2010,3
EXCHEQUER RESTAURANT,224-226 S WABASH AVE ,05/06/2015,3
EXECUTIVE/SERVICE/MINI BARS,151 W ADAMS ST ,10/07/2010,7
"Eurest Dining Services @ Drinker, Biddle & Reath LLP",191 N WACKER DR ,03/15/2017,1
FAST FOO'S,28 E JACKSON BLVD ,01/10/2011,1
FAT EDDIE'S EMPLOYEE CAFETERIA,151 E WACKER DR ,07/17/2013,3
"FFT AT SABW, LLC",1 S DEARBORN ST ,09/11/2013,5
FFT CAFE,30 S WACKER ,04/06/2010,4
FLO & SANTO,1310 S WABASH AVE ,03/24/2015,1
FONTANO FOODS,1058 W POLK ST ,08/05/2014,2
FONTANO SUBS,332 S MICHIGAN AVE ,06/29/2017,1
FOOD FOR THOUGHT,130 E RANDOLPH ST ,08/30/2016,2
FRIENDSHIP ON THE LAKE,200 N LAKEFRONT DR ,10/24/2013,1
FROYO,233 N MICHIGAN AVE ,10/15/2015,1
FRUVE XPRESS JUICERY,1130 S WABASH AVE ,10/09/2014,2
FULTON MARKET KITCHEN,311 N SANGAMON ST ,10/24/2017,1
GARLAND OFFICE LLC,111 N WABASH AVE ,05/18/2015,1
GARRETT POPCORN SHOPS,27 W JACKSON BLVD ,09/08/2017,1
GATEWAY NEWS STAND,233 S WACKER DR ,01/06/2011,6
GATEWAY NEWSTAND,111 W WASHINGTON ST ,10/22/2012,5
GATEWAY NEWSTANDS,1 N FRANKLIN ST ,12/07/2012,1
GEMS WORLD ACADEMY CHICAGO,350 E SOUTH WATER ST ,05/31/2017,1
GEPADE CAFFE,60 E ADAMS ST ,08/24/2015,3
GIDEON SWEET,841 W RANDOLPH ST FL ,12/28/2017,1
GIORDANO'S OF PRUDENTIAL PLAZA,130 E RANDOLPH ST ,10/24/2017,1
GIORDANO'S ON JACKSON,223-225 W JACKSON BLVD ,01/31/2017,1
"GLAZED AND INFUSED, LLC",222 N LA SALLE ST ,04/17/2015,1
GOLDEN THAI,1509 W TAYLOR ST ,06/30/2015,3
GOODWIN'S RESTAURANT,333 W WACKER DR ,10/19/2015,1
GRANT PARK PACKING CO.,842 W LAKE ST ,11/20/2015,1
GREEN ST. SMOKED MEATS,112 N GREEN ST ,08/14/2015,2
GRILLER'S,77 W JACKSON BLVD ,09/27/2010,4
HACKNEY'S PRINTERS' ROW,731 - 733 S DEARBORN ST ,05/08/2014,2
HALSTED STREET DELI,400 S LA SALLE ST ,09/09/2016,1
HANNAH'S BRETZEL LLC,180 W WASHINGTON ST ,07/01/2014,2
HARVESTER CAFE,600 S MICHIGAN AVE ,09/03/2010,4
HERITAGE ROOM,65 W JACKSON BLVD ,03/06/2013,3
HOLIDAY INN SUITES,506 W HARRISON ST ,01/12/2012,4
HOULIHAN'S,111 E WACKER DR ,10/21/2013,1
HUBBARD'S,333 S WABASH AVE ,02/17/2016,2
HYATT REGENCY CHICAGO-J'S DELI,151 E WACKER DR ,10/06/2010,2
Hard Rock Hotel,224-230 N MICHIGAN AVE ,11/09/2011,5
Harolds Chicken Shack,804 W WASHINGTON BLVD ,11/02/2010,2
IDOF,243 S WABASH AVE ,05/16/2014,2
III FORKS,180 N FIELD BLVD ,02/06/2013,4
INTELLIGENTSIA COFFEE & TEA INC.,53 W JACKSON BLVD ,08/29/2011,5
INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,114 S RACINE AVE ,05/20/2014,2
ITALIAN VILLAGE / VIVERE,71 W MONROE ST ,01/14/2010,8
J & J FISH,26 E ADAMS ST ,09/16/2013,3
J.P. GRAZIANO GROCERY CO INC.,901 W RANDOLPH ST ,03/17/2015,1
JAZZMAN'S CAFE,100 W RANDOLPH ST ,10/26/2011,2
JERSEY MIKE'S,200 W MONROE ST ,12/30/2010,4
JEWEL FOOD  STORE # 3345,1224 S WABASH AVE ,10/21/2015,3
JEWEL/STARBUCKS,1340 S CANAL ST ,01/30/2017,1
JIM'S ORIGINAL,1250 S UNION AVE ,02/19/2014,2
JIMMY JOHN'S - VAN BUREN,812 W VAN BUREN ST ,03/18/2015,1
JIMMY JOHN'S- STATE,725 S STATE ST ,10/26/2012,4
JUPITER COFFEE,1139 W FULTON MARKET ,10/20/2015,2
KAISERTIGER,1415 W RANDOLPH ST ,04/11/2016,2
